size,blocking (wall time),blocking (kernel time),blocking (user time),async (wall time),async (kernel time),async (user time)
0,0.02,0.00,0.02,0.02,0.01,0.00
1000,0.88,3.19,2.44,1.38,0.97,0.41
2000,1.85,6.63,4.92,2.64,1.85,0.80
3000,2.60,9.95,7.12,3.93,2.73,1.23
4000,3.82,13.90,9.62,5.49,3.97,1.54
5000,5.03,18.30,10.98,6.71,4.66,2.08
6000,6.42,23.42,14.34,9.35,6.78,2.62
7000,6.17,22.67,17.10,9.05,6.58,2.52
8000,6.95,25.90,19.92,13.38,9.69,3.74
9000,8.54,30.67,21.77,12.58,8.99,3.67
10000,9.09,32.44,25.16,13.11,9.37,3.81
